ross_inc_id,sitnum,time_since_disco,ic_name
114466,3,3,"boykin, holguin"
114466,4,4,"boykin, holguin"
114466,5,5,"boykin, holguin"
141045,1,1,brad borgelli
148306,2,4,brad donahue
156398,18,18,brad mcbratney
156398,19,19,brad mcbratney
112655,1,1,brady schultz
148667,1,0,brain ramsey
145531,1,1,brandon allen
162507,2,2,brandon cichowski
162507,3,3,brandon cichowski
162507,4,4,brandon cichowski
162058,1,0,brandon coville
77254,1,2,brandon hoffman
156789,2,2,brandon hoffman
156789,3,3,brandon hoffman
53494,1,6,brandon hoffman
103165,1,3,brandon hoffman
103165,2,4,brandon hoffman
103165,3,5,brandon hoffman
103165,4,7,brandon hoffman
148157,4,8,brandon skinner
131943,3,14,brek hudson
131943,4,15,brek hudson
62217,1,0,brennan blue
62217,1,0,bill metcalf
55475,1,1,brent hunter
55475,2,2,brent hunter
105379,1,1,brent johnson
145247,1,2,brent kaiser
145247,2,3,brent kaiser
49767,1,0,brent moon
130876,1,2,brent woffiden
107337,1,2,brett fillis
107337,2,3,brett fillis
160285,2,2,brett fillis
160285,3,3,brett fillis
160285,4,4,brett fillis
160285,5,5,brett fillis
141390,4,3,brett fillis
141390,5,4,brett fillis
132771,1,0,brett ostler
132771,1,0,jason curley t
144346,4,11,brett pargman
144346,5,12,brett pargman
144346,6,13,brett pargman
141760,1,0,brett peters
141760,2,1,brett peters
53918,2,1,brian bishop
53918,3,2,brian bishop
53918,4,3,brian bishop
57536,1,0,brian bishop
55680,1,0,brian bishop
55680,2,1,brian bishop
142583,1,0,brian briggs
107730,1,1,brian cresto
144866,1,1,brian cresto
144866,2,2,brian cresto
148466,2,1,brian cresto
148466,3,2,brian cresto
146103,2,3,brian estes
146103,3,4,brian estes
146103,4,5,brian estes
77687,1,0,brian orr
138935,1,0,brian pearson
148137,1,0,brain ramsey
160431,2,6,brian stearns
103580,1,1,brian steinhardt
147997,3,2,brian watts
147997,4,3,brian watts
147997,5,4,brian watts
147997,6,5,brian watts
147997,7,6,brian watts
147997,8,7,brian watts
147997,9,8,brian watts
147997,10,9,brian watts
147209,3,2,brian watts
147209,4,3,brian watts
147209,5,4,brian watts
147209,6,5,brian watts
142268,1,2,brian watts
142268,2,3,brian watts
143561,1,0,brian williams
143561,2,1,brian williams
57719,1,3,bright wings
57719,2,4,bright wings
57719,3,5,bright wings
57719,4,6,bright wings
57719,5,7,bright wings
57719,6,8,bright wings
71231,1,1,david brinsfield
142626,1,0,brinton parry
149360,1,2,britton quinlan
149505,2,1,brock uhlig
145120,1,0,brock uhlig
145120,2,1,brock uhlig
145120,3,2,brock uhlig
147084,1,0,brock uhlig
119002,1,0,brock uhlig
119002,2,1,brock uhlig
141353,1,0,brock uhlig
161022,1,15,brooks baker
161022,2,22,brooks baker
161022,3,30,brooks baker
108271,1,12,brooks baker
162881,2,1,brown & tom kuntz
50187,3,9,bruce fields
50187,4,10,bruce fields
102609,6,30,bruce fields
102609,7,31,bruce fields
102609,8,32,bruce fields
117617,5,4,bruce windhorst
117617,5,4,bret lewis(t
117617,6,5,bruce windhorst
117617,6,5,bret lewis(t
117617,2,1,bruce windhorst
117617,2,1,bret lewis(t
117617,3,2,bruce windhorst
117617,3,2,bret lewis(t
117617,4,3,bruce windhorst
117617,4,3,bret lewis(t
120812,2,1,graham - unified cmd
105929,1,1,bryan brazzeal
107878,1,4,bryan collins
107878,2,5,bryan collins
159482,1,0,bryan pete
159482,2,1,bryan pete
117192,1,0,bryan yeager
124286,1,1,bryant mcgee
125549,2,1,bryant mcgee
146168,1,1,bryce schear
48979,1,1,buck kline
48979,2,2,buck kline
48979,3,3,buck kline
48979,4,4,buck kline
48979,5,5,buck kline
122951,5,6,buck kline
122951,6,7,buck kline
122951,7,8,buck kline
158320,3,3,buck sylvester
72249,1,1,buck sylvester
115541,1,4,buddy zale
115541,2,5,buddy zale
58065,1,2,buddy zale
58065,2,3,buddy zale
58065,3,4,buddy zale
58065,4,5,buddy zale
58065,5,6,buddy zale
58065,6,7,buddy zale
58065,7,8,buddy zale
58065,8,9,buddy zale
58065,9,10,buddy zale
58920,3,3,burke williams
58920,4,4,burke williams
58920,5,5,burke williams
71094,1,1,burton goode
71094,2,3,burton goode
71094,3,4,burton goode
96521,2,2,butch wilson
109236,1,2,"butler, jason"
109236,2,10,"butler, jason"
109236,3,23,"butler, jason"
109236,4,26,"butler, jason"
109236,5,27,"butler, jason"
122228,1,6,buzz williams
122228,2,7,buzz williams
148275,1,0,byard lamebull
152754,1,0,caleb finch
69737,1,0,cameron todd
57718,3,2,carl west
57718,4,3,carl west
78578,2,2,carl west
78578,3,3,carl west
78578,4,4,carl west
78578,5,5,carl west
78578,6,6,carl west
78578,7,7,carl west
78578,8,8,carl west
78578,9,9,carl west
78578,10,10,carl west
78578,11,11,carl west
78578,12,12,carl west
78578,13,13,carl west
78578,14,14,carl west
78578,16,41,carl west
78578,17,42,carl west
78578,18,43,carl west
78578,19,44,carl west
78578,20,45,carl west
132213,2,4,carl west
132213,3,5,carl west
132213,4,6,carl west
132213,5,7,carl west
132213,6,8,carl west
132213,7,9,carl west
58633,3,2,carl west
58633,4,3,carl west
58633,5,4,carl west
133289,3,2,carl west
133289,4,3,carl west
133289,5,4,carl west
133289,6,5,carl west
131910,1,1,carlos lopez
68260,2,1,carlton joseph
68260,3,2,carlton joseph
67691,2,2,carlton joseph
67691,3,3,carlton joseph
67691,4,4,carlton joseph
76679,1,1,carlton joseph
76679,2,2,carlton joseph
76679,3,3,carlton joseph
93647,2,6,carlton joseph
93647,3,7,carlton joseph
93647,4,8,carlton joseph
93647,5,9,carlton joseph
93647,6,10,carlton joseph
93647,7,11,carlton joseph
104004,4,12,cary taylor
104004,5,13,cary taylor
104004,6,14,cary taylor
104004,7,15,cary taylor
104004,8,16,cary taylor
104004,9,23,cary taylor
104004,10,26,cary taylor
104004,11,44,cary taylor
104004,12,45,cary taylor
104004,13,46,cary taylor
104004,14,47,cary taylor
104004,15,48,cary taylor
104004,16,53,cary taylor
147546,2,4,cary taylor
137421,2,2,cass palmer
70233,3,2,craig cowie
97632,2,3,chad cook
145766,2,1,chad lewis
145766,3,2,chad lewis
145766,4,3,chad lewis
138071,1,0,chad lewis
126116,1,1,chad ray
126116,2,2,chad ray
124620,1,5,chad ray
124620,1,5,chuck hildebrand
124620,2,6,chad ray
124620,2,6,chuck hildebrand
128729,1,5,chad rice
128729,2,8,chad rice
128729,3,9,chad rice
128729,4,12,chad rice
160615,1,2,chad schmidt
145068,1,0,chad schmidt
131323,1,1,chad schmidt
123876,1,1,bill champion
131926,1,1,chance atwood
131926,2,2,chance atwood
101840,1,0,chance atwood
101840,2,2,chance atwood
101840,3,3,chance atwood
148728,2,1,"chaney, cuero, nissen, dollick"
148728,3,2,"chaney, cuero, nissen, dollick"
117258,6,5,goff t
117258,7,6,goff t
117258,12,26,goff t
117258,13,27,goff t
117258,14,28,goff t
117258,15,29,goff t
117258,16,30,goff t
117258,17,31,goff t
117258,18,32,goff t
117258,19,33,goff t
132311,1,1,chck heard
139445,1,0,chet hatch
139445,2,1,chet hatch
126769,2,2,cheto olais
126769,3,3,cheto olais
127000,1,1,cheto olais
127000,2,2,cheto olais
127000,3,3,cheto olais
138315,5,5,cheto olais
138315,6,6,cheto olais
138315,7,7,cheto olais
138315,8,8,cheto olais
163137,1,0,chief housto 
144643,1,0,chief jerry hendershot
49500,1,0,chief rueda
49500,2,1,chief rueda
49500,3,2,chief rueda
139973,1,0,chief steven leonard
53763,1,1,chief taylor
152466,1,0,chief vaughn miller
47922,1,0,chief witesman
47922,2,1,chief witesman
47922,3,2,chief witesman
117118,1,0,chris anthony
115150,1,0,chris anthony
159472,1,0,chris anthony
159472,2,1,chris anthony
159857,1,0,chris anthony
160519,1,0,chris anthony
160519,2,1,chris anthony
129843,1,0,chris anthony
117408,1,0,chris anthony
101174,1,2,chris ashkie
101174,2,3,chris ashkie
130567,2,1,chris boldman ic-t
55569,1,0,chris bortz
55569,2,1,chris bortz
129820,2,1,chris bourgoine
75148,1,0,chris delaney
67691,1,1,chris fogle
131899,2,1,chris glode
147391,1,0,chris heiser
142709,1,0,chris henrie
77298,2,2,chris hertel
77298,2,2,mike blinn
67444,1,1,chris johnson
67444,2,2,chris johnson
110236,1,23,chris johnson
110236,2,30,chris johnson
110236,3,50,chris johnson
110236,4,58,chris johnson
110332,1,0,chris little
55031,1,1,chris lundgren
115593,3,11,chris marks
115593,4,12,chris marks
115593,5,13,chris marks
70996,1,2,chris marks
70996,2,3,chris marks
70996,3,4,chris marks
119685,1,2,chris marks
119685,2,3,chris marks
140782,1,0,chris naccarato
140782,2,1,chris naccarato
140782,3,2,chris naccarato
140782,4,3,chris naccarato
140782,5,4,chris naccarato
140782,6,5,chris naccarato
60834,1,5,chris naccarato
72670,5,25,chris ourada
72670,6,26,chris ourada
72670,7,33,chris ourada
72670,8,34,chris ourada
72670,9,35,chris ourada
72670,10,36,chris ourada
72670,11,37,chris ourada
72670,12,38,chris ourada
72670,13,39,chris ourada
72670,14,40,chris ourada
72670,15,41,chris ourada
72670,16,42,chris ourada
72670,17,43,chris ourada
72670,18,44,chris ourada
96569,3,4,chris ourada
145120,4,3,chris ourada
145120,5,4,chris ourada
145120,6,5,chris ourada
145120,7,6,chris ourada
145120,8,7,chris ourada
145120,9,8,chris ourada
53494,2,7,chris ourada
53494,3,8,chris ourada
106438,3,2,chris ourada
106438,4,3,chris ourada
96709,1,0,chris owens
96709,2,1,chris owens
96709,3,2,chris owens
142614,2,1,chris paulus
132711,1,3,chris price
132711,2,4,chris price
53918,1,0,chris schenk
94957,1,5,chris schenk
58228,1,0,chris schenk
141219,1,1,chris secakuku
141219,2,2,chris secakuku
134434,1,0,chris thiessen
136066,1,8,chris trombley
135388,1,0,chris woods
135388,2,1,chris woods
136765,2,2,chris woods
135335,1,0,chris woods
135335,5,5,chris woods
141289,1,0,chris woods
141289,2,1,chris woods
141289,3,2,chris woods
135335,2,1,chris woods
135335,2,1,rick case
135335,3,2,chris woods
135335,3,2,rick case
135335,4,3,chris woods
135335,4,3,rick case
135388,3,2,chris woods
135388,3,2,tim bray
125033,9,8,chris wright
125033,10,9,chris wright
125033,11,10,chris wright
125033,12,11,chris wright
125033,13,12,chris wright
125033,14,13,chris wright
125033,15,14,chris wright
125033,16,15,chris wright
125033,17,16,chris wright
131729,1,13,chris young
131729,1,13,tim theisen
131729,2,14,chris young
131729,2,14,tim theisen
54003,1,1,christian ramirez
160614,3,26,christopher marks
57719,7,9,chuck alluisl
167268,1,2,chuck lane
167268,2,3,chuck lane
167268,3,4,chuck lane
167268,4,5,chuck lane
167268,5,6,chuck lane
140779,1,1,chuck russell
106567,1,1,chuck russell
146152,2,16,chuck russell
146152,3,17,chuck russell
146152,4,18,chuck russell
146152,5,19,chuck russell
146152,6,20,chuck russell
146152,7,21,chuck russell
146152,8,22,chuck russell
146152,9,23,chuck russell
132567,2,3,chuck russell
107472,3,29,chuck stanton
143209,1,1,clark maughan
129457,1,4,clark olds
152297,2,1,clay howe
117258,8,16,clay matheson
117258,9,21,clay matheson
145777,2,1,clay matheson
147084,2,1,clay stevens
157629,2,3,clay templin
157629,3,4,clay templin
157629,4,5,clay templin
124994,1,17,clay templin
124994,2,18,clay templin
124994,3,19,clay templin
124994,4,20,clay templin
124994,5,21,clay templin
124994,6,22,clay templin
124994,7,23,clay templin
124994,8,24,clay templin
124994,9,25,clay templin
124994,10,26,clay templin
165557,1,5,clayton swanger
165557,2,6,clayton swanger
55347,1,0,clint bastian
57441,1,0,clint bastian
141297,1,0,clint bastian
141297,2,1,clint bastian
132175,1,1,clint coates
132175,2,2,clint coates
105379,2,2,clint coates
105379,3,3,clint coates
105379,4,4,clint coates
160301,1,0,clint coates
160301,2,1,clint coates
130344,1,3,clint coates
127922,1,13,clint coonfield
141596,1,3,clint davis
122806,1,1,clint davis
74029,1,1,clint dawson
74029,2,2,clint dawson
113548,1,0,clyde benally
149293,1,0,cody coff
106979,6,26,cody cummings
149514,1,0,cody goff
142746,1,0,cody goff
142746,2,1,cody goff
145873,2,2,cody goff
145873,3,3,cody goff
131469,3,17,cody kidd
131469,4,25,cody kidd
125672,1,2,cody kidd
147015,1,0,cody kidd
120256,1,1,cody rohnbach
121383,1,31,cole bias
159445,1,1,colin good
159445,2,2,colin good
142656,1,1,colt coates
117252,1,0,colt coates
117252,2,1,colt coates
126663,1,1,colt coates
146168,2,2,colt coates
146168,3,3,colt coates
158029,3,2,colt coates
158029,4,3,colt coates
160231,1,1,colt coates
106517,3,4,colt coates
106517,4,5,colt coates
55710,1,2,"cones, gary"
55710,2,3,"cones, gary"
55710,3,4,"cones, gary"
143803,1,1,corey johnson
105790,1,4,corey robinson
105790,2,6,corey robinson
132178,1,1,cory wood
102756,1,21,corky conover
102756,2,22,corky conover
102756,3,23,corky conover
102756,4,24,corky conover
92018,3,27,corky conover
67773,1,0,cornel cervantes
118703,1,1,cory berkebile
149436,1,1,cory berkebile
145974,1,0,corey johnson
145974,2,1,cory wood
146037,2,2,cory wood
146037,3,3,cory wood
133289,1,0,courtney fent
109168,1,2,craig campbell
113807,4,7,craig cowie
113807,5,8,craig cowie
113807,6,9,craig cowie
66897,14,13,craig cowie
70233,4,3,craig cowie
70233,5,4,craig cowie
69448,1,-28,craig cowie
160628,1,1,craig crenshaw
126475,1,0,craig crenshaw
126475,2,1,craig crenshaw
126475,3,2,craig crenshaw
70229,1,1,craig daugherty
70229,2,2,craig daugherty
70229,3,3,craig daugherty
140801,3,2,craig goodell
106576,1,1,craig goodell
106576,2,2,craig goodell
106576,3,3,craig goodell
106576,4,4,craig goodell
106576,5,5,craig goodell
106576,6,6,craig goodell
106576,7,7,craig goodell
146755,1,3,craig nelson
148034,1,8,craig roach
164149,1,1,craig utter 
84291,1,1,curt stanley
156211,5,6,curtis heaton
156211,6,7,curtis heaton
156211,7,8,curtis heaton
156211,8,9,curtis heaton
106866,2,1,curt stanley
100199,1,0,"d'andrea,schmitt, mcelory"
100199,2,1,"d'andrea,schmitt, mcelory"
149578,2,1,david ramirez
117250,1,0,dale beckerman
117250,2,1,dale beckerman
116871,1,1,dale beckerman
159809,2,2,dale beckerman
123866,1,1,dale bradford
75728,1,0,dale jablonski
75728,2,1,dale jablonski
54863,1,1,dale johnson
142856,1,0,dale riner
157621,1,1,dameon julander
55799,1,0,dan ames
145608,2,7,dan bartel
159783,2,1,dan bartel
139916,1,0,dan begay
139916,2,1,dan begay
51710,2,1,dan burns
146743,1,0,dan carroll
101299,1,2,dan cottrell
101299,1,2,eric messenger
157062,3,3,dan dallas
156468,2,2,dan dallas
156468,3,3,dan dallas
159809,3,3,dan dallas
159809,4,4,dan dallas
135201,1,4,dan dearborn
135201,2,7,dan dearborn
54462,1,0,dan gustafson
50197,1,1,dan gustafson
50197,2,2,dan gustafson
156854,1,6,dan huisjen
156854,2,7,dan huisjen
156854,3,8,dan huisjen
104150,1,0,dan huisjen
104150,2,1,dan huisjen
104150,3,2,dan huisjen
150700,1,3,dan martin
124660,1,0,dan mcdonald
122004,1,0,dan mcdonald
66091,1,1,dan mcdonald
122346,1,1,dan mcdonald
122346,2,2,dan mcdonald
122346,3,3,dan mcdonald
56176,13,15,dan oltrogge
56176,14,16,dan oltrogge
56176,15,17,dan oltrogge
56176,16,18,dan oltrogge
56176,17,19,dan oltrogge
92018,1,23,dan paulson
127922,3,19,dan pearson
127922,4,24,dan pearson
126139,1,1,dan philbin
