ross_inc_id,sitnum,time_since_disco,ic_name
161461,6,6,bea day
161461,7,7,bea day
161461,8,8,bea day
130611,2,2,beau cartwright
147840,9,15,beau macy
144735,1,0,beck
144735,2,1,beck
88018,1,1,beckerman
88018,2,2,beckerman
106066,1,0,beckerman
106066,2,1,beckerman
104602,2,2,beckerman
104602,3,3,beckerman
144848,3,2,beckerman/short
139480,3,2,beckstrand/teeples (t)
139480,4,3,beckstrand/teeples (t)
139480,5,4,beckstrand/teeples (t)
140564,1,2,becky finzer
130376,1,1,bedke
130376,2,2,bedke
120233,1,0,bedke
120233,2,1,bedke
122022,2,1,"bell, geoff"
122022,3,2,"bell, geoff"
73218,1,5,ben jacobs
60342,4,4,ben jacobs
60342,5,5,ben jacobs
103133,2,1,ben newburn
129023,1,2,ben plumb
129023,2,3,ben plumb
129023,3,5,ben plumb
71781,1,0,ben renfro
145533,2,4,ben rojas
142387,1,0,ben sitz
126077,1,0,benally
107070,1,0,benally
89008,1,0,benefield
147838,2,2,benes
147838,3,3,benes
147838,4,4,benes
141050,1,1,benes
141050,2,2,benes
141050,3,3,benes
141050,4,4,benes
147227,3,2,benes
147227,4,3,benes
147227,5,4,benes
147227,6,5,benes
132502,1,1,benes
132502,2,2,benes
132502,3,3,benes
132484,1,0,beninati
132479,1,0,benji stewart
146971,1,1,bennet
146971,2,2,bennet
146971,3,4,bennet
146971,4,5,bennet
73947,3,2,bennett
73947,4,3,bennett
73947,5,4,bennett
73947,6,5,bennett
73947,7,6,bennett
73947,8,7,bennett
50210,1,0,bente
141144,4,4,benton
141144,5,5,benton
142573,1,0,berkabile/christopherson (t)
142573,2,1,berkabile/christopherson (t)
142573,3,2,berkabile/christopherson (t)
101383,1,30,bernard spielman
101383,2,31,bernard spielman
101383,3,32,bernard spielman
101383,4,33,bernard spielman
118116,1,2,berndt
118116,2,3,berndt
72360,1,1,berndt/lafave
55695,1,0,berriochoa
53722,3,2,beth lund
53722,4,3,beth lund
53722,5,4,beth lund
53722,6,5,beth lund
53722,7,6,beth lund
